Time [s],Acceleration[mg]
0,6
0.001,10.45389661
0.002,6.28100562
0.003,8.028437941
0.004,5.791793199
0.005,-2.200652413
0.006,-2.32588685
0.007,-9.045008454
0.008,-4.943357492
0.009,3.827834391
0.01,-3.244973183
0.011,2.597272739
0.012,1.322878028
0.013,-2.966041067
0.014,4.094707485
0.015,-7.514308144
0.016,0.511991666
0.017,0.084669072
0.018,6.093555779
0.019,8.823364826
0.02,7.388720136
0.021,5.869232107
0.022,7.925007324
0.023,1.74869831
0.024,-3.665681195
0.025,-0.358140358
0.026,4.517698994
0.027,-3.924202306
0.028,1.420943692
0.029,0.435567998
0.03,5.930499228
0.031,-4.440890029
0.032,-4.227488588
0.033,-0.205447006
0.034,-1.228139808
0.035,-2.66067509
0.036,3.688263739
0.037,1.275336209
0.038,6.967253916
0.039,12.73611641
0.04,0.663838227
0.041,-1.920151247
0.042,-0.150014016
0.043,4.329258027
0.044,3.124106882
0.045,-2.057853097
0.046,0.480715424
0.047,1.246777518
0.048,6.066303287
0.049,-3.998776286
0.05,-8.050657781
0.051,-3.416093463
0.052,-5.670149942
0.053,-0.551074412
0.054,-3.744207338
0.055,-1.965059501
0.056,0.170232366
0.057,2.667110637
0.058,8.78394968
0.059,-7.376896771
0.06,4.717070306
0.061,-1.312660839
0.062,0.304189692
0.063,2.043791652
0.064,2.529324926
0.065,3.730331738
0.066,8.650319824
0.067,5.260748303
0.068,-0.10972904
0.069,-1.99081137
0.07,-6.324246501
0.071,-5.215927792
0.072,-1.693691723
0.073,4.558937043
0.074,5.327232826
0.075,3.029422182
0.076,9.316829009
0.077,3.501500431
0.078,-3.324734295
0.079,-7.471714551
0.08,0.623596356
0.081,4.939436773
0.082,-2.867335395
0.083,8.358772208
0.084,3.408404944
0.085,-0.06191192
0.086,0.568572593
0.087,-10.02914993
0.088,-4.978599695
0.089,-1.400772056
0.09,-0.801273019
0.091,2.362290043
0.092,2.810847137
0.093,0.391255346
0.094,4.522361135
0.095,4.100373723
0.096,1.79203466
0.097,-3.109879235
0.098,-1.055840145
0.099,5.299184392
0.1,8.998469858
0.101,2.568668013
0.102,6.991464738
0.103,5.469804411
0.104,-5.30802932
0.105,2.138982564
0.106,-7.771380689
0.107,0.932420745
0.108,-4.999478361
0.109,0.830344711
0.11,-2.119032
0.111,3.320814504
0.112,0.773130237
0.113,-2.065324519
0.114,-1.573716895
0.115,-4.972695932
0.116,-3.522286021
0.117,-3.976504341
0.118,2.100027506
0.119,-1.039568666
0.12,9.125355462
0.121,0.328431238
0.122,-1.173654185
0.123,0.072280439
0.124,-5.136944835
0.125,-6.404163056
0.126,1.451396496
0.127,-1.913848383
0.128,2.569090636
0.129,-0.814692718
0.13,6.398706108
0.131,0.461153257
0.132,-3.911833767
0.133,-1.689567893
0.134,-7.285945178
0.135,-1.732183013
0.136,1.70242049
0.137,-2.565481739
0.138,1.730107038
0.139,7.213391513
0.14,-4.433330869
0.141,-5.612357239
0.142,5.353026961
0.143,3.259632788
0.144,1.047317401
0.145,-0.039973032
0.146,2.650886823
0.147,1.02275384
0.148,-1.447293276
0.149,-4.09507497
0.15,-6.750657781
0.151,-2.925871002
0.152,-10.75163178
0.153,-0.633221377
0.154,-6.722683621
0.155,7.216055048
0.156,2.959340733
0.157,3.162702164
0.158,-0.311395835
0.159,-2.084623666
0.16,-2.805505624
0.161,0.593964464
0.162,1.216609531
0.163,-1.931120786
0.164,6.721335997
0.165,-0.467419525
0.166,4.155158833
0.167,-6.833561322
0.168,-5.825115411
0.169,-6.52616506
0.17,-6.42954985
0.171,-1.309016648
0.172,-0.665120262
0.173,3.761797577
0.174,5.14262974
0.175,4.543567699
0.176,-1.776362046
0.177,-7.221477696
0.178,3.127155389
0.179,-5.588981873
0.18,-2.475076478
0.181,4.971412047
0.182,9.346327115
0.183,3.187324587
0.184,-0.068084372
0.185,1.846098232
0.186,0.83807073
0.187,-0.589995232
0.188,-2.107865838
0.189,1.494896072
0.19,0.234025851
0.191,0.586706616
0.192,3.652561748
0.193,0.924189487
0.194,-2.56834492
0.195,-8.637583558
0.196,1.21847651
0.197,-3.251178575
0.198,-1.165905894
0.199,7.337726507
0.2,8.233592155
0.201,3.423551107
0.202,8.533880252
0.203,-4.619535313
0.204,0.946626591
