Time [s], Acceleration [mg]
0,205.314
0.001,202.107
0.002,198.46
0.003,195.396
0.004,191.796
0.005,188.243
0.006,184.56
0.007,180.59
0.008,176.704
0.009,172.317
0.01,168.371
0.011,163.722
0.012,159.133
0.013,154.007
0.014,149.429
0.015,144.196
0.016,138.271
0.017,133.216
0.018,127.184
0.019,121.689
0.02,115.764
0.021,109.792
0.022,103.354
0.023,96.5476
0.024,90.4799
0.025,83.8518
0.026,77.8675
0.027,71.4541
0.028,65.2909
0.029,58.5795
0.03,52.2018
0.031,45.9433
0.032,39.2795
0.033,33.2475
0.034,26.8221
0.035,20.1583
0.036,13.8521
0.037,7.67708
0.038,1.46627
0.039,-5.55515
0.04,-12.6004
0.041,-19.7172
0.042,-26.6552
0.043,-33.7124
0.044,-40.7696
0.045,-47.9102
0.046,-54.7052
0.047,-61.6193
0.048,-68.6765
0.049,-75.6383
0.05,-82.3379
0.051,-88.6083
0.052,-94.8548
0.053,-101.28
0.054,-107.479
0.055,-113.487
0.056,-118.887
0.057,-124.443
0.058,-130.308
0.059,-135.648
0.06,-141.108
0.061,-146.425
0.062,-151.968
0.063,-157.082
0.064,-162.423
0.065,-167
0.066,-172.174
0.067,-177.109
0.068,-181.878
0.069,-187.266
0.07,-192.428
0.071,-196.385
0.072,-199.914
0.073,-203.8
0.074,-208.449
0.075,-212.383
0.076,-215.447
0.077,-218.26
0.078,-221.86
0.079,-225.437
0.08,-227.785
0.081,-230.265
0.082,-232.661
0.083,-235.033
0.084,-236.642
0.085,-237.834
0.086,-239.48
0.087,-241.637
0.088,-242.96
0.089,-243.08
0.09,-244.236
0.091,-245.178
0.092,-246.227
0.093,-247.169
0.094,-246.704
0.095,-247.467
0.096,-247.86
0.097,-247.431
0.098,-246.799
0.099,-245.512
0.1,-244.951
0.101,-244.248
0.102,-242.925
0.103,-240.886
0.104,-239.146
0.105,-237.012
0.106,-234.818
0.107,-232.327
0.108,-230.134
0.109,-227.284
0.11,-223.732
0.111,-220.823
0.112,-217.867
0.113,-214.994
0.114,-212.359
0.115,-208.616
0.116,-204.599
0.117,-200.57
0.118,-196.54
0.119,-192.404
0.12,-188.208
0.121,-183.725
0.122,-179.124
0.123,-174.034
0.124,-169.015
0.125,-163.96
0.126,-159.287
0.127,-154.34
0.128,-148.761
0.129,-142.67
0.13,-136.828
0.131,-131.297
0.132,-124.466
0.133,-118.637
0.134,-113.416
0.135,-106.132
0.136,-97.8828
0.137,-92.4826
0.138,-88.1314
0.139,-81.5153
0.14,-73.3256
0.141,-66.5665
0.142,-60.4153
0.143,-54.9316
0.144,-49.603
0.145,-43.571
0.146,-36.3469
0.147,-28.9679
0.148,-22.459
0.149,-15.986
0.15,-9.19104
0.151,-2.30074
0.152,4.45843
0.153,10.8957
0.154,17.488
0.155,24.2233
0.156,32.4011
0.157,39.7921
0.158,45.8717
0.159,51.6415
0.16,57.8523
0.161,65.0883
0.162,71.5017
0.163,77.5218
0.164,83.3154
0.165,88.954
0.166,94.4853
0.167,100.768
0.168,106.442
0.169,111.389
0.17,117.242
0.171,122.118
0.172,127.375
0.173,132.918
0.174,138.593
0.175,144.029
0.176,148.821
0.177,153.625
0.178,158.513
0.179,163.031
0.18,167.859
0.181,172.83
0.182,176.394
0.183,180.03
0.184,184.143
0.185,188.315
0.186,192.201
0.187,195.611
0.188,198.281
0.189,201.309
0.19,204.372
0.191,206.625
0.192,208.902
0.193,211.31
0.194,213.468
0.195,215.185
0.196,216.568
0.197,217.819
0.198,218.38
0.199,219.667
0.2,221.241
0.201,222.528
0.202,222.755
0.203,223.112
0.204,223.172
0.205,223.362
0.206,223.804
0.207,223.41
0.208,223.327
0.209,222.337
0.21,221.443
0.211,220.096
0.212,218.523
0.213,217.187
0.214,214.815
0.215,212.944
0.216,210.154
0.217,207.865
0.218,205.624
0.219,202.847
0.22,199.58
0.221,196.898
0.222,193.644
0.223,190.234
0.224,187.242
0.225,183.928
0.226,180.769
0.227,176.644
0.228,172.305
0.229,168.586
0.23,164.032
0.231,159.49
0.232,155.211
0.233,150.549
0.234,145.268
0.235,139.999
0.236,134.325
0.237,129.139
0.238,123.751
0.239,118.256
0.24,112.14
0.241,106.347
0.242,99.6232
0.243,93.8416
0.244,87.4877
0.245,81.1935
0.246,75.3164
0.247,69.0699
0.248,62.9306
0.249,56.3979
0.25,50.3659
0.251,43.869
0.252,37.7297
0.253,31.1017
0.254,24.1756
0.255,17.9768
0.256,11.2534
0.257,4.54187
0.258,-1.87159
0.259,-8.4281
0.26,-15.7118
0.261,-22.9836
0.262,-29.4209
0.263,-36.0966
0.264,-43.3445
0.265,-49.8295
0.266,-56.9582
0.267,-63.479
0.268,-69.9997
0.269,-76.6993
0.27,-83.2081
0.271,-89.4904
0.272,-95.9158
0.273,-101.65
0.274,-108.039
0.275,-114.346
0.276,-119.686
0.277,-125.039
0.278,-130.892
0.279,-136.173
0.28,-141.907
0.281,-147.629
0.282,-152.731
0.283,-158.167
0.284,-163.293
0.285,-168.24
0.286,-173.318
0.287,-178.432
0.288,-183.439
0.289,-187.933
0.29,-192.404
0.291,-196.052
0.292,-200.439
0.293,-204.825
0.294,-208.7
0.295,-212.121
0.296,-215.077
0.297,-217.927
0.298,-221.479
0.299,-224.364
0.3,-226.843
0.301,-229.12
0.302,-231.385
0.303,-233.4
0.304,-235.498
0.305,-237.358
0.306,-238.49
0.307,-239.825
0.308,-240.624
0.309,-241.792
0.31,-242.686
0.311,-243.318
0.312,-244.057
0.313,-244.26
0.314,-244.427
0.315,-244.427
0.316,-244.141
0.317,-244.224
0.318,-243.664
0.319,-243.151
0.32,-242.019
0.321,-240.409
0.322,-238.788
0.323,-237.501
0.324,-235.26
0.325,-232.995
0.326,-231.075
0.327,-229.12
0.328,-226.259
0.329,-223.1
0.33,-219.905
0.331,-217.056
0.332,-213.85
0.333,-210.285
0.334,-207.019
0.335,-202.704
0.336,-198.817
0.337,-195.217
0.338,-190.938
0.339,-186.849
0.34,-182.092
0.341,-177.336
0.342,-173.187
0.343,-168.908
0.344,-164.354
0.345,-158.978
0.346,-153.554
0.347,-148.368
0.348,-142.908
0.349,-136.781
0.35,-130.82
0.351,-125.194
0.352,-119.042
0.353,-112.855
0.354,-106.466
0.355,-100.41
0.356,-94.1515
0.357,-87.8811
0.358,-81.718
0.359,-75.1615
0.36,-69.4633
0.361,-62.9306
0.362,-56.5052
0.363,-50.354
0.364,-44.0955
0.365,-37.7178
0.366,-30.8275
0.367,-24.3545
0.368,-17.5595
0.369,-10.6215
0.37,-3.6478
0.371,2.82526
0.372,9.46522
0.373,15.6879
0.374,22.4471
0.375,29.3255
0.376,35.7747
0.377,41.9498
0.378,48.7566
0.379,55.0747
0.38,61.6312
0.381,68.4261
0.382,74.7085
0.383,80.7881
0.384,86.7129
0.385,92.2918
0.386,98.0735
0.387,104.153
0.388,109.78
0.389,115.156
0.39,120.223
0.391,125.527
0.392,130.558
