Time [s],Acceleration[mg]
0,1
0.001,0.368124553
0.002,0.315452894
0.003,1.904827052
0.004,-1.998026728
0.005,1.951056516
0.006,-1.770513243
0.007,1.481753674
0.008,-0.125333234
0.009,0.751310113
0.01,1.587785252
0.011,0.155672074
0.012,0.982287251
0.013,0.017712749
0.014,0.844327926
0.015,0.412214748
0.016,-0.751310113
0.017,-0.874666766
0.018,-0.481753674
0.019,-0.229486757
0.02,-1.951056516
0.021,0.998026728
0.022,-0.904827052
0.023,0.684547106
0.024,-1.368124553
0.025,1
0.026,-0.631875447
0.027,-1.684547106
0.028,0.904827052
0.029,-0.998026728
0.03,0.951056516
0.031,-0.770513243
0.032,0.481753674
0.033,-0.125333234
0.034,0.751310113
0.035,0.587785252
0.036,-0.844327926
0.037,-0.017712749
0.038,0.017712749
0.039,0.844327926
0.04,0.412214748
0.041,1.248689887
0.042,-0.874666766
0.043,-1.481753674
0.044,1.770513243
0.045,-1.951056516
0.046,1.998026728
0.047,0.095172948
0.048,1.684547106
0.049,-0.368124553
0.05,1
0.051,-0.631875447
0.052,-1.684547106
0.053,1.904827052
0.054,-0.998026728
0.055,0.951056516
0.056,-0.770513243
0.057,1.481753674
0.058,-0.125333234
0.059,-1.248689887
0.06,-0.412214748
0.061,-1.844327926
0.062,-0.017712749
0.063,-1.982287251
0.064,-0.155672074
0.065,0.412214748
0.066,1.248689887
0.067,0.125333234
0.068,-1.481753674
0.069,-0.229486757
0.07,-0.951056516
0.071,0.998026728
0.072,-0.904827052
0.073,1.684547106
0.074,-0.368124553
0.075,1.41128E-13
0.076,-0.631875447
0.077,-0.684547106
0.078,1.904827052
0.079,0.001973272
0.08,-0.048943484
0.081,0.229486757
0.082,-0.518246326
0.083,-1.125333234
0.084,-0.248689887
0.085,-0.412214748
0.086,-0.844327926
0.087,1.982287251
0.088,-1.982287251
0.089,0.844327926
0.09,-0.587785252
0.091,-0.751310113
0.092,0.125333234
0.093,-0.481753674
0.094,0.770513243
0.095,0.048943484
0.096,1.998026728
0.097,-1.904827052
0.098,-0.315452894
0.099,-0.368124553
0.1,1.88171E-13
0.101,0.368124553
0.102,-1.684547106
0.103,0.904827052
0.104,-1.998026728
0.105,1.951056516
0.106,0.229486757
0.107,0.481753674
0.108,0.874666766
0.109,-0.248689887
0.11,-0.412214748
0.111,-1.844327926
0.112,-0.017712749
0.113,0.017712749
0.114,0.844327926
0.115,-0.587785252
0.116,-0.751310113
0.117,-0.874666766
0.118,-1.481753674
0.119,-0.229486757
0.12,0.048943484
0.121,1.998026728
0.122,-0.904827052
0.123,0.684547106
0.124,0.631875447
0.125,2.35213E-13
0.126,-0.631875447
0.127,-0.684547106
0.128,1.904827052
0.129,0.001973272
0.13,0.951056516
0.131,0.229486757
0.132,0.481753674
