Time [s], Acceleration [mg]
0,315.07
0.001,338.996
0.002,368.536
0.003,372.267
0.004,361.455
0.005,351.095
0.006,339.282
0.007,326.514
0.008,300.384
0.009,275.445
0.01,259.233
0.011,256.705
0.012,264.454
0.013,258.875
0.014,238.574
0.015,213.635
0.016,206.554
0.017,209.641
0.018,208.652
0.019,212.193
0.02,235.498
0.021,270.51
0.022,293.386
0.023,294.566
0.024,292.862
0.025,306.892
0.026,330.043
0.027,356.638
0.028,375.044
0.029,384.712
0.03,393.176
0.031,395.978
0.032,392.89
0.033,370.228
0.034,341.821
0.035,323.045
0.036,313.568
0.037,304.306
0.038,275.648
0.039,233.901
0.04,197.828
0.041,164.998
0.042,129.104
0.043,86.7129
0.044,46.9685
0.045,17.8933
0.046,-9.98974
0.047,-42.2835
0.048,-75.2211
0.049,-105.429
0.05,-123.31
0.051,-133.336
0.052,-144.017
0.053,-159.872
0.054,-148.129
0.055,-211.62
0.056,-187.802
0.057,-178.623
0.058,-214.088
0.059,-227.582
0.06,-188.363
0.061,-105.155
0.062,-72.0739
0.063,-89.6573
0.064,-135.362
0.065,-160.468
0.066,-143.409
0.067,-109.47
0.068,-93.8893
0.069,-101.638
0.07,-94.8072
0.071,-92.1607
0.072,-127.196
0.073,-207.603
0.074,-271.13
0.075,-281.668
0.076,-261.569
0.077,-268.209
0.078,-328.803
0.079,-392.246
0.08,-437.594
0.081,-477.421
0.082,-504.446
0.083,-530.839
0.084,-541.115
0.085,-532.27
0.086,-502.408
0.087,-488.567
0.088,-518.37
0.089,-539.994
0.09,-512.326
0.091,-447.512
0.092,-398.004
0.093,-368.202
0.094,-323.725
0.095,-267.327
0.096,-239.492
0.097,-238.645
0.098,-233.316
0.099,-197.327
0.1,-146.031
0.101,-104.213
0.102,-82.2783
0.103,-85.6042
0.104,-88.3103
0.105,-88.9778
0.106,-90.7183
0.107,-101.352
0.108,-111.306
0.109,-103.378
0.11,-89.2401
0.111,-92.3276
0.112,-120.127
0.113,-152.206
0.114,-164.902
0.115,-161.374
0.116,-155.509
0.117,-146.377
0.118,-135.35
0.119,-143.373
0.12,-130.534
0.121,-72.0978
0.122,-29.0155
0.123,-39.4821
0.124,-39.041
0.125,-21.6842
0.126,24.569
0.127,73.2303
0.128,118.983
0.129,161.803
0.13,208.318
0.131,245.881
0.132,267.744
0.133,283.647
0.134,294.662
0.135,326.383
0.136,361.168
0.137,397.408
0.138,405.049
0.139,389.814
0.14,375.748
0.141,364.757
0.142,361.705
0.143,348.032
0.144,335.157
0.145,326.419
0.146,310.624
0.147,296.545
0.148,267.041
0.149,233.054
0.15,196.707
0.151,179.064
0.152,177.538
0.153,171.316
0.154,163.138
0.155,160.384
0.156,167.179
0.157,174.165
0.158,169.706
0.159,167.453
0.16,187.779
0.161,223.374
0.162,262.964
0.163,288.582
0.164,306.189
0.165,322.592
0.166,333.595
0.167,347.781
0.168,353.992
0.169,358.629
0.17,359.953
0.171,361.109
0.172,363.791
0.173,345.779
0.174,310.588
0.175,275.862
0.176,246.692
0.177,217.855
0.178,184.155
0.179,148.082
0.18,110.304
0.181,68.0804
0.182,19.3357
0.183,-31.8289
0.184,-83.4108
0.185,-124.419
0.186,-145.34
0.187,-148.451
0.188,-152.993
0.189,-173.509
0.19,-167.99
0.191,-245.023
0.192,-249.696
0.193,-231.147
0.194,-254.858
0.195,-278.02
0.196,-252.95
0.197,-162.673
0.198,-97.7397
0.199,-101.447
0.2,-147.879
0.201,-182.819
0.202,-167
0.203,-103.939
0.204,-69.3798
0.205,-63.4074
0.206,-57.5423
0.207,-42.9154
0.208,-53.215
0.209,-124.192
0.21,-195.336
0.211,-218.296
0.212,-192.916
0.213,-180.101
0.214,-225.592
0.215,-298.345
0.216,-358.582
0.217,-407.064
0.218,-445.497
0.219,-481.439
0.22,-513.22
0.221,-525.129
0.222,-501.74
0.223,-481.641
0.224,-514.96
0.225,-559.914
0.226,-556.934
0.227,-497.27
0.228,-442.016
0.229,-411.511
0.23,-370.956
0.231,-307.322
0.232,-258.625
0.233,-237.31
0.234,-232.673
0.235,-205.278
0.236,-151.92
0.237,-93.8296
0.238,-47.7791
0.239,-38.6953
0.24,-37.539
0.241,-28.9798
0.242,-19.0377
0.243,-24.2472
0.244,-37.8609
0.245,-38.0039
0.246,-23.1385
0.247,-19.5026
0.248,-46.587
0.249,-90.8613
0.25,-125.086
0.251,-133.598
0.252,-134.611
0.253,-133.455
0.254,-139.844
0.255,-167.68
0.256,-122.035
0.257,-83.9114
0.258,-60.1888
0.259,-99.4682
0.26,-114.822
0.261,-90.2176
0.262,-33.9031
0.263,24.0088
0.264,68.903
0.265,112.712
0.266,157.976
0.267,200.069
0.268,216.794
0.269,235.307
0.27,267.923
0.271,322.986
0.272,380.039
0.273,413.728
0.274,419.843
0.275,403.273
0.276,391.638
0.277,383.151
0.278,379.956
0.279,371.015
0.28,366.986
0.281,366.056
0.282,348.318
0.283,320.292
0.284,274.682
0.285,228.226
0.286,191.796
0.287,174.105
0.288,167.024
0.289,156.438
0.29,143.468
0.291,135.231
0.292,126.266
0.293,114.727
0.294,103.557
0.295,105.155
0.296,134.552
0.297,173.02
0.298,207.651
0.299,229.514
0.3,243.473
0.301,264.669
0.302,283.694
0.303,303.054
0.304,322.235
0.305,344.288
0.306,362.718
0.307,370.276
0.308,365.996
0.309,342.81
0.31,307.179
0.311,272.131
0.312,241.733
0.313,210.607
0.314,176.275
0.315,136.709
0.316,90.9567
0.317,39.2914
0.318,-17.3092
0.319,-70.25
0.32,-118.935
