Date time; DT#2024-02-23-06:49:43
Powerlink time; -183519276; µs
Channel; 1
Sampling frequency; 1000; Hz
Rotation speed; 0; s-1

Time [s]; Acceleration [mg]
0; -4.52995
0.001; -15.6641
0.002; -10.7765
0.003; -8.61883
0.004; -2.37227
0.005; -11.9686
0.006; -5.94854
0.007; 0
0.008; -7.42674
0.009; -13.3395
0.01; -11.2414
0.011; -7.4029
0.012; -6.05583
0.013; -13.6018
0.014; -9.13143
0.015; -7.27177
0.016; -5.05447
0.017; -9.63211
0.018; -9.17912
0.019; 0.0596047
0.02; -0.572205
0.021; -10.0255
0.022; -8.04663
0.023; -4.18425
0.024; -9.87053
0.025; -13.3038
0.026; -11.3487
0.027; -6.7234
0.028; -8.16584
0.029; -8.03471
0.03; -9.97782
0.031; -1.87159
0.032; -6.90222
0.033; -12.6243
0.034; -10.8123
0.035; -2.99215
0.036; -3.51667
0.037; -11.754
0.038; -9.799
0.039; -2.26498
0.04; -3.92199
0.041; -5.75781
0.042; -5.24521
0.043; 3.89814
0.044; -0.810623
0.045; -5.56707
0.046; -9.66787
0.047; -7.99894
0.048; -7.60555
0.049; -12.1713
0.05; -10.0255
0.051; -4.68493
0.052; -6.42538
0.053; -7.64132
0.054; -8.51154
0.055; -1.87159
0.056; -6.58035
0.057; -15.8072
0.058; -10.1089
0.059; -6.27041
0.06; -11.4083
0.061; -16.9754
0.062; -11.4322
0.063; -5.40018
0.064; -12.5408
0.065; -10.8361
0.066; -11.3964
0.067; -4.26769
0.068; -12.3382
0.069; -14.9131
0.07; -14.8416
0.071; -10.1328
0.072; -11.7183
0.073; -20.8378
0.074; -12.9819
0.075; -8.45194
0.076; -12.6958
0.077; -13.1607
0.078; -7.41482
0.079; -4.44651
0.08; -9.66787
0.081; -12.1593
0.082; -10.2401
0.083; -10.9911
0.084; -16.7608
0.085; -17.5357
0.086; -15.4495
0.087; -8.09431
0.088; -8.142
0.089; -12.2547
0.09; -5.00679
0.091; -3.0756
0.092; -6.58035
0.093; -15.6283
0.094; -9.44138
0.095; -6.54459
0.096; -12.207
0.097; -15.3542
0.098; -12.3739
0.099; -5.59092
0.1; -10.5023
0.101; -10.86
0.102; -4.64916
0.103; -7.71284
0.104; -11.1461
0.105; -12.5051
0.106; -16.0694
0.107; -8.13007
0.108; -17.0589
0.109; -18.5847
0.11; -11.1699
0.111; -5.94854
0.112; -12.4574
0.113; -10.8838
0.114; -5.80549
0.115; -5.17368
0.116; -13.9952
0.117; -10.8957
0.118; -8.61883
0.119; -7.05719
0.12; -15.5211
0.121; -15.6403
0.122; -17.5834
0.123; -6.27041
0.124; -8.57115
0.125; -11.5752
0.126; -2.14577
0.127; -1.14441
0.128; -7.82013
0.129; -8.13007
0.13; -7.05719
0.131; -3.57628
0.132; -11.6229
0.133; -11.3606
0.134; -5.96047
0.135; -4.39882
0.136; -6.98567
0.137; -5.65052
0.138; -1.77622
0.139; -2.53916
0.14; -8.18968
0.141; -8.7738
0.142; -5.04255
0.143; -6.24657
0.144; -10.2639
0.145; -13.5779
0.146; -9.39369
0.147; -4.60148
0.148; -4.12464
0.149; -9.6798
0.15; 1.49012
0.151; -3.14713
0.152; -9.40561
0.153; -7.53403
0.154; -4.3273
0.155; -8.72612
0.156; -10.4308
0.157; -7.05719
0.158; -9.04799
0.159; -11.003
0.16; -8.54731
0.161; -8.33273
0.162; -0.0596047
0.163; -5.14984
0.164; -11.8017
0.165; -7.99894
0.166; -6.38962
0.167; -6.34194
0.168; -14.77
0.169; -10.8004
0.17; -3.91007
0.171; -9.39369
0.172; -9.97782
0.173; -5.29289
0.174; 0.548363
0.175; -6.58035
0.176; -10.2401
0.177; -8.79765
0.178; -9.48906
0.179; -11.3606
0.18; -15.4376
0.181; -13.0534
0.182; -10.5262
0.183; -8.73804
0.184; -11.4918
0.185; -6.6042
0.186; -2.25306
0.187; -10.3116
0.188; -12.2905
0.189; -9.85861
0.19; -6.59227
0.191; -11.5037
0.192; -16.1886
0.193; -11.1699
0.194; -6.31809
0.195; -12.362
0.196; -12.97
0.197; -10.2162
0.198; -4.18425
0.199; -9.91821
0.2; -12.0759
0.201; -11.766
0.202; -8.63075
0.203; -13.6137
0.204; -15.3899
0.205; -13.6137
0.206; -7.89166
0.207; -12.7912
0.208; -12.7196
0.209; -6.40154
0.21; -6.00815
0.211; -15.1753
0.212; -13.7925
0.213; -13.7448
0.214; -10.3712
0.215; -17.5476
0.216; -16.0575
0.217; -16.1767
0.218; -11.5633
0.219; -11.5871
0.22; -14.2932
0.221; -8.2016
0.222; -6.16312
0.223; -9.81093
0.224; -12.8269
0.225; -12.66
0.226; -9.15527
0.227; -16.5224
0.228; -16.3794
0.229; -13.3753
0.23; -9.07183
0.231; -10.4666
0.232; -8.69036
0.233; -3.95775
0.234; -7.16448
0.235; -10.3235
0.236; -9.6798
0.237; -9.6798
0.238; -7.72476
0.239; -11.1699
0.24; -13.566
0.241; -12.3978
0.242; -6.30617
0.243; -9.9659
0.244; -10.0613
0.245; -2.8491
0.246; -6.35386
0.247; -11.6706
0.248; -11.2653
0.249; -6.62804
0.25; -11.3726
0.251; -8.15392
0.252; -8.44002
0.253; -11.0269
0.254; -7.16448
0.255; -6.59227
0.256; -8.16584
0.257; -2.0504
0.258; -4.37498
0.259; -7.41482
0.26; -7.67708
0.261; -6.12736
0.262; -5.6982
0.263; -11.9805
0.264; -10.2162
0.265; -7.82013
0.266; -6.05583
0.267; -5.43594
0.268; -4.60148
0.269; 0.703335
0.27; -6.91414
0.271; -8.142
0.272; -8.29697
0.273; -8.32081
0.274; -7.84397
0.275; -11.8971
0.276; -9.93014
0.277; -9.58443
0.278; -9.44138
0.279; -7.35521
0.28; -8.30889
0.281; -0.917912
0.282; -3.17097
0.283; -10.1805
0.284; -5.84126
0.285; -6.6638
0.286; -6.38962
0.287; -12.2786
0.288; -6.28233
0.289; -2.43187
0.29; -5.68628
0.291; -6.48499
0.292; -4.33922
0.293; -2.45571
0.294; -7.36714
0.295; -10.2758
0.296; -7.53403
0.297; -9.46522
0.298; -10.3951
0.299; -18.0006
0.3; -9.66787
0.301; -6.74725
0.302; -11.9448
0.303; -9.9659
0.304; -5.75781
0.305; -2.40803
0.306; -9.04799
0.307; -11.8017
0.308; -10.2401
0.309; -7.6294
0.31; -11.313
0.311; -14.7104
0.312; -14.4124
0.313; -10.705
0.314; -9.87053
0.315; -11.7421
0.316; -10.8123
0.317; -4.11272
0.318; -11.7421
0.319; -11.9805
0.32; -12.6958
0.321; -10.6096
0.322; -17.7622
0.323; -14.782
0.324; -12.6719
0.325; -9.01222
0.326; -12.362
0.327; -9.48906
0.328; -12.219
0.329; -8.49962
